rep,basis,chisq_eneo,p_eneo,chisq_yam,p_yam
1,102261,10.940379617650333,0.027242300071532284,9.530702779234291,0.049120182216948874
2,102305,13.733076479464776,0.008197548425116151,12.320669145919165,0.015119380746152395
3,102327,10.075716937591304,0.03917137306724941,8.82193668625962,0.0657076268026902
4,102216,12.59915523818674,0.013409912147051438,11.04594989361137,0.026052425785686475
5,102346,13.341073310810204,0.00972407923307782,11.750855962020953,0.019303398941623563
6,102385,11.016719895718804,0.026376747023799996,9.667619091825173,0.046414687887517375
7,102272,11.860562170143906,0.018418849450504295,9.884110599039824,0.04242573191770488
8,102344,17.068325791075498,0.0018747472040588247,15.396842343154379,0.003945105284648852
9,102381,12.119187676417082,0.016486616995710215,10.619407979140002,0.03119132631823155
10,102398,14.014536121687536,0.007248806647549258,12.492176874593348,0.014043064430547177
11,102394,11.384443630088514,0.022566790818962516,9.572838657608742,0.0482719007863476
12,102431,15.448962224762555,0.0038551393782915193,13.863443713076064,0.007743885517568278
13,102503,14.69523776577221,0.0053769039285912115,12.49008826191375,0.014055711350689986
14,102062,12.007657814257556,0.017294410522241992,10.544053784040864,0.03219554077240764
15,102289,15.040071631590266,0.0046188234481166456,13.811160449774905,0.007922794003189612
16,102565,17.578698074115128,0.001491379012404806,15.99142005373577,0.0030306982912524814
17,102484,14.745007504340709,0.005260386486924825,12.688708935195317,0.012901359969755664
18,102185,14.708348310530837,0.005345966955348874,12.312913695962434,0.015169903557011203
19,102292,12.83946770842665,0.012087412387953704,11.405206027682652,0.022368377117920037
20,102285,17.314686315940847,0.0016788863656076662,16.239581147013745,0.002713967390003798
