"basis_label","basis","p_six","p_kotias","fold","control_holds","kotias_breaks","six_max_fold","discriminates"
"full basis",898057,0.266797379741805,0.0160288445001159,16.6448292476651,TRUE,TRUE,2.82078042299759,TRUE
"transversions only",239106,0.0865431195553721,0.00277495159320556,31.1872537767044,TRUE,TRUE,10.7802778644716,FALSE
"~500k subsample (rep A)",451239,0.169371228362212,0.00969856862064958,17.4635283810436,TRUE,TRUE,4.01114801273851,TRUE
"~500k subsample (rep B)",451387,0.322419465376212,0.0223975774928951,14.3952829487246,TRUE,TRUE,2.25334677562489,TRUE
"~500k subsample (rep C)",451307,0.330723268613576,0.00667049933457169,49.5799867484451,TRUE,TRUE,2.80561285139205,TRUE
"~250k subsample (rep A)",225737,0.0568920249901097,0.0128098220026687,4.4412814618546,TRUE,TRUE,16.8810961618992,FALSE
"~250k subsample (rep B)",225596,0.0422060653985993,0.00548151960851367,7.6997016179686,FALSE,TRUE,13.7011280057907,FALSE
"~250k subsample (rep C)",225409,0.250719979923848,0.00311236755952538,80.556031743912,TRUE,TRUE,3.3176669759792,TRUE
"~120k subsample (rep A)",108341,0.238699172725372,0.289451142499903,0.824661359647083,TRUE,FALSE,2.66514324054374,TRUE
"~120k subsample (rep B)",108174,0.229565905021387,0.119828930231028,1.9157803093025,TRUE,FALSE,3.42954683577446,TRUE
"~120k subsample (rep C)",108219,0.20493402044026,0.155493287995506,1.31796055689672,TRUE,FALSE,4.29938129713227,TRUE
